state,offender_type,variable_category,variable_detailed,value,value_type,value_source
California,Convicted Offender,total,total_profiles,2019899,count,reported
California,Arrestee,total,total_profiles,751822,count,reported
California,Convicted Offender,gender,Female,309827,count,reported
California,Convicted Offender,gender,Male,1603222,count,reported
California,Convicted Offender,gender,Unknown,106850,count,reported
California,Arrestee,gender,Female,208225,count,reported
California,Arrestee,gender,Male,524231,count,reported
California,Arrestee,gender,Unknown,19366,count,reported
California,Convicted Offender,race,Black,368952,count,reported
California,Convicted Offender,race,White,588555,count,reported
California,Convicted Offender,race,Hispanic,652121,count,reported
California,Convicted Offender,race,Asian,16384,count,reported
California,Arrestee,race,Black,104741,count,reported
California,Arrestee,race,White,231313,count,reported
California,Arrestee,race,Hispanic,308450,count,reported
California,Arrestee,race,Asian,11191,count,reported
California,Convicted Offender,race,Unknown,393887,count,calculated
California,Arrestee,race,Unknown,96127,count,calculated
California,Combined,gender,Female,518052,count,calculated
California,Combined,gender,Male,2127453,count,calculated
California,Combined,gender,Unknown,126216,count,calculated
California,Combined,race,Black,473693,count,calculated
California,Combined,race,Asian,27575,count,calculated
California,Combined,race,White,819868,count,calculated
California,Combined,race,Hispanic,960571,count,calculated
California,Combined,race,Unknown,490014,count,calculated
California,Combined,total,total_profiles,2771721,count,calculated
California,Convicted Offender,gender,Female,15.34,percentage,calculated
California,Convicted Offender,gender,Male,79.37,percentage,calculated
California,Convicted Offender,gender,Unknown,5.29,percentage,calculated
California,Arrestee,gender,Female,27.7,percentage,calculated
California,Arrestee,gender,Male,69.73,percentage,calculated
California,Arrestee,gender,Unknown,2.58,percentage,calculated
California,Convicted Offender,race,Black,18.27,percentage,calculated
California,Convicted Offender,race,White,29.14,percentage,calculated
California,Convicted Offender,race,Hispanic,32.28,percentage,calculated
California,Convicted Offender,race,Asian,0.81,percentage,calculated
California,Arrestee,race,Black,13.93,percentage,calculated
California,Arrestee,race,White,30.77,percentage,calculated
California,Arrestee,race,Hispanic,41.03,percentage,calculated
California,Arrestee,race,Asian,1.49,percentage,calculated
California,Convicted Offender,race,Unknown,19.5,percentage,calculated
California,Arrestee,race,Unknown,12.79,percentage,calculated
California,Combined,gender,Female,18.69,percentage,calculated
California,Combined,gender,Male,76.76,percentage,calculated
California,Combined,gender,Unknown,4.55,percentage,calculated
California,Combined,race,Black,17.09,percentage,calculated
California,Combined,race,Asian,0.99,percentage,calculated
California,Combined,race,White,29.58,percentage,calculated
California,Combined,race,Hispanic,34.66,percentage,calculated
California,Combined,race,Unknown,17.68,percentage,calculated
Florida,Combined,total,total_profiles,1175391,count,reported
Florida,Combined,total,total_profiles,100,percentage,reported
Florida,Combined,gender,Female,260885,count,reported
Florida,Combined,gender,Female,22.2,percentage,reported
Florida,Combined,gender,Male,901126,count,reported
Florida,Combined,gender,Male,76.67,percentage,reported
Florida,Combined,gender,Unknown,13380,count,reported
Florida,Combined,gender,Unknown,1.14,percentage,reported
Florida,Combined,race,Black,413733,count,reported
Florida,Combined,race,Black,35.2,percentage,reported
Florida,Combined,race,Asian,2659,count,reported
Florida,Combined,race,Asian,0.23,percentage,reported
Florida,Combined,race,White,721485,count,reported
Florida,Combined,race,White,61.38,percentage,reported
Florida,Combined,race,Hispanic,28452,count,reported
Florida,Combined,race,Hispanic,2.42,percentage,reported
Florida,Combined,race,Native American,667,count,reported
Florida,Combined,race,Native American,0.06,percentage,reported
Florida,Combined,race,Other,1176,count,reported
Florida,Combined,race,Other,0.1,percentage,reported
Florida,Combined,race,Unknown,7219,count,reported
Florida,Combined,race,Unknown,0.61,percentage,reported
Indiana,Convicted Offender,total,total_profiles,279654,count,reported
Indiana,Arrestee,total,total_profiles,21087,count,reported
Indiana,Combined,gender,Female,20,percentage,reported
Indiana,Combined,gender,Male,80,percentage,reported
Indiana,Combined,race,White,69.65174129353234,percentage,calculated
Indiana,Combined,race,Black,25.870646766169155,percentage,calculated
Indiana,Combined,race,Hispanic,3.9800995024875623,percentage,calculated
Indiana,Combined,race,Other,0.4975124378109453,percentage,calculated
Indiana,Combined,total,total_profiles,300741,count,calculated
Indiana,Combined,gender,Female,60148,count,calculated
Indiana,Combined,gender,Male,240593,count,calculated
Indiana,Combined,race,White,209471,count,calculated
Indiana,Combined,race,Black,77804,count,calculated
Indiana,Combined,race,Hispanic,11970,count,calculated
Indiana,Combined,race,Other,1496,count,calculated
Maine,Combined,total,total_profiles,33711,count,reported
Maine,Combined,gender,Male,82.78278278278277,percentage,calculated
Maine,Combined,gender,Female,17.017017017017015,percentage,calculated
Maine,Combined,gender,Unknown,0.20020020020020018,percentage,calculated
Maine,Combined,race,White,31298,count,reported
Maine,Combined,race,White,92.8,percentage,reported
Maine,Combined,race,Black,1299,count,reported
Maine,Combined,race,Black,3.9,percentage,reported
Maine,Combined,race,Unknown,470,count,reported
Maine,Combined,race,Unknown,1.4,percentage,reported
Maine,Combined,race,Native American,345,count,reported
Maine,Combined,race,Native American,1,percentage,reported
Maine,Combined,race,Hispanic,171,count,reported
Maine,Combined,race,Hispanic,0.5,percentage,reported
Maine,Combined,race,Asian,128,count,reported
Maine,Combined,race,Asian,0.4,percentage,reported
Maine,Combined,gender,Male,27907,count,calculated
Maine,Combined,gender,Female,5737,count,calculated
Maine,Combined,gender,Unknown,67,count,calculated
Nevada,Combined,total,total_profiles,344097,count,reported
Nevada,Arrestee,total,total_profiles,185074,count,reported
Nevada,Arrestee,total,total_profiles,53.785,percentage,reported
Nevada,Convicted Offender,total,total_profiles,159023,count,reported
Nevada,Convicted Offender,total,total_profiles,46.215,percentage,reported
Nevada,Combined,gender,Female,63287,count,reported
Nevada,Combined,gender,Female,18.392,percentage,reported
Nevada,Combined,gender,Male,280738,count,reported
Nevada,Combined,gender,Male,81.587,percentage,reported
Nevada,Combined,gender,Unknown,72,count,reported
Nevada,Combined,gender,Unknown,0.0209,percentage,reported
Nevada,Combined,race,White,238723,count,reported
Nevada,Combined,race,White,69.377,percentage,reported
Nevada,Combined,race,Unknown,3491,count,reported
Nevada,Combined,race,Unknown,1.015,percentage,reported
Nevada,Combined,race,Native American,5710,count,reported
Nevada,Combined,race,Native American,1.659,percentage,reported
Nevada,Combined,race,Black,88174,count,reported
Nevada,Combined,race,Black,25.625,percentage,reported
Nevada,Combined,race,Asian,7999,count,reported
Nevada,Combined,race,Asian,2.346,percentage,reported
South Dakota,Combined,total,total_profiles,67753,count,reported
South Dakota,Combined,gender,Male,51197,count,reported
South Dakota,Combined,gender,Male,75.56,percentage,reported
South Dakota,Combined,gender,Female,16556,count,reported
South Dakota,Combined,gender,Female,24.44,percentage,reported
South Dakota,Combined,race,Asian,0.08,percentage,reported
South Dakota,Combined,race,Black,5.96,percentage,reported
South Dakota,Combined,race,Hispanic,4.35,percentage,reported
South Dakota,Combined,race,Native American,21.54,percentage,reported
South Dakota,Combined,race,Unknown,1.32,percentage,reported
South Dakota,Combined,race,White,66.75,percentage,reported
South Dakota,Combined,race,Asian,54,count,calculated
South Dakota,Combined,race,Black,4038,count,calculated
South Dakota,Combined,race,Hispanic,2947,count,calculated
South Dakota,Combined,race,Native American,14594,count,calculated
South Dakota,Combined,race,Unknown,894,count,calculated
South Dakota,Combined,race,White,45226,count,calculated
Texas,Convicted Offender,total,total_profiles,845322,count,reported
Texas,Arrestee,total,total_profiles,73631,count,reported
Texas,Convicted Offender,gender,Female,121434,count,reported
Texas,Arrestee,gender,Female,18721,count,reported
Texas,Convicted Offender,race,Asian,3361,count,reported
Texas,Convicted Offender,race,Black,254366,count,reported
Texas,Convicted Offender,race,White,309010,count,reported
Texas,Convicted Offender,race,Hispanic,276245,count,reported
Texas,Convicted Offender,race,Native American,138,count,reported
Texas,Convicted Offender,race,Other,2173,count,reported
Texas,Arrestee,race,Asian,497,count,reported
Texas,Arrestee,race,Black,12903,count,reported
Texas,Arrestee,race,White,33486,count,reported
Texas,Arrestee,race,Hispanic,24202,count,reported
Texas,Arrestee,race,Native American,24,count,reported
Texas,Arrestee,race,Other,358,count,reported
Texas,Convicted Offender,gender,Male,723888,count,calculated
Texas,Arrestee,gender,Male,54910,count,calculated
Texas,Convicted Offender,race,Unknown,29,count,calculated
Texas,Arrestee,race,Unknown,2161,count,calculated
Texas,Combined,gender,Female,140155,count,calculated
Texas,Combined,gender,Male,778798,count,calculated
Texas,Combined,race,Asian,3858,count,calculated
Texas,Combined,race,Black,267269,count,calculated
Texas,Combined,race,Hispanic,300447,count,calculated
Texas,Combined,race,Native American,162,count,calculated
Texas,Combined,race,Other,2531,count,calculated
Texas,Combined,race,Unknown,2190,count,calculated
Texas,Combined,race,White,342496,count,calculated
Texas,Combined,total,total_profiles,918953,count,calculated
Texas,Convicted Offender,gender,Female,14.37,percentage,calculated
Texas,Arrestee,gender,Female,25.43,percentage,calculated
Texas,Convicted Offender,race,Asian,0.4,percentage,calculated
Texas,Convicted Offender,race,Black,30.09,percentage,calculated
Texas,Convicted Offender,race,White,36.56,percentage,calculated
Texas,Convicted Offender,race,Hispanic,32.68,percentage,calculated
Texas,Convicted Offender,race,Native American,0.02,percentage,calculated
Texas,Convicted Offender,race,Other,0.26,percentage,calculated
Texas,Arrestee,race,Asian,0.67,percentage,calculated
Texas,Arrestee,race,Black,17.52,percentage,calculated
Texas,Arrestee,race,White,45.48,percentage,calculated
Texas,Arrestee,race,Hispanic,32.87,percentage,calculated
Texas,Arrestee,race,Native American,0.03,percentage,calculated
Texas,Arrestee,race,Other,0.49,percentage,calculated
Texas,Convicted Offender,gender,Male,85.63,percentage,calculated
Texas,Arrestee,gender,Male,74.57,percentage,calculated
Texas,Convicted Offender,race,Unknown,0,percentage,calculated
Texas,Arrestee,race,Unknown,2.93,percentage,calculated
Texas,Combined,gender,Female,15.25,percentage,calculated
Texas,Combined,gender,Male,84.75,percentage,calculated
Texas,Combined,race,Asian,0.42,percentage,calculated
Texas,Combined,race,Black,29.08,percentage,calculated
Texas,Combined,race,Hispanic,32.69,percentage,calculated
Texas,Combined,race,Native American,0.02,percentage,calculated
Texas,Combined,race,Other,0.28,percentage,calculated
Texas,Combined,race,Unknown,0.24,percentage,calculated
Texas,Combined,race,White,37.27,percentage,calculated
