citation,asof_date,offender_profiles,arrestee_profiles,forensic_profiles,total_profiles,investigations_aided,short_label
FBI Brochure,2000-12-01,441181,NA,21625,NA,1573,FBI (Dec 2000)
FBI Brochure,2002-12-01,1247163,NA,46177,NA,6670,FBI (Dec 2002)
FBI Brochure,2004-12-01,2038514,NA,93956,NA,21266,FBI (Dec 2004)
FBI Brochure,2006-12-01,3977435,54313,160582,NA,45364,FBI (Dec 2006)
FBI Brochure,2008-12-01,6399200,140719,248943,NA,81955,FBI (Dec 2008)
FBI Brochure,2010-12-01,8564705,668849,351951,NA,130317,FBI (Dec 2010)
FBI Brochure,2012-12-01,10086404,1332721,446689,NA,190560,FBI (Dec 2012)
FBI Brochure,2015-06-01,11822927,2028734,638162,NA,274648,FBI (Jun 2015)
Ge et al. 2012,2011-06-01,NA,NA,NA,10000000,141300,Ge et al. 2012
Ge et al. 2014,2013-05-01,NA,NA,NA,12000000,185000,Ge et al. 2014
Wickenheiser 2022,2021-10-01,14836490,4513955,1144255,NA,587773,Wickenheiser 2022
Link et al. 2023,2022-11-01,NA,NA,NA,21791620,622955,Link et al. 2023
Greenwald & Phiri 2024,2024-02-01,17000000,5000000,1300000,NA,680000,Greenwald & Phiri 2024
